strike,tenor,value,valuationDate,isinCode,definition,volType
0.065,6Y,1.739,2021-06-08,USD,CapFloorVolatility,normal
0.065,7Y,1.618,2021-06-08,USD,CapFloorVolatility,normal
0.065,8Y,1.521,2021-06-08,USD,CapFloorVolatility,normal
0.065,9Y,1.44,2021-06-08,USD,CapFloorVolatility,normal
0.065,10Y,1.367,2021-06-08,USD,CapFloorVolatility,normal
0.065,12Y,1.278,2021-06-08,USD,CapFloorVolatility,normal
0.065,15Y,1.168,2021-06-08,USD,CapFloorVolatility,normal
0.065,20Y,1.072,2021-06-08,USD,CapFloorVolatility,normal
0.07,1Y,2.497,2021-06-08,USD,CapFloorVolatility,normal
0.07,2Y,2.152,2021-06-08,USD,CapFloorVolatility,normal
0.07,3Y,2.068,2021-06-08,USD,CapFloorVolatility,normal
0.07,4Y,2.014,2021-06-08,USD,CapFloorVolatility,normal
0.07,5Y,1.952,2021-06-08,USD,CapFloorVolatility,normal
0.07,6Y,1.833,2021-06-08,USD,CapFloorVolatility,normal
0.07,7Y,1.702,2021-06-08,USD,CapFloorVolatility,normal
0.07,8Y,1.599,2021-06-08,USD,CapFloorVolatility,normal
0.07,9Y,1.511,2021-06-08,USD,CapFloorVolatility,normal
0.07,10Y,1.434,2021-06-08,USD,CapFloorVolatility,normal
0.07,12Y,1.339,2021-06-08,USD,CapFloorVolatility,normal
0.07,15Y,1.222,2021-06-08,USD,CapFloorVolatility,normal
0.07,20Y,1.12,2021-06-08,USD,CapFloorVolatility,normal
0.075,1Y,2.655,2021-06-08,USD,CapFloorVolatility,normal
0.075,2Y,2.28,2021-06-08,USD,CapFloorVolatility,normal
0.075,3Y,2.181,2021-06-08,USD,CapFloorVolatility,normal
0.075,4Y,2.118,2021-06-08,USD,CapFloorVolatility,normal
0.075,5Y,2.052,2021-06-08,USD,CapFloorVolatility,normal
0.075,6Y,1.926,2021-06-08,USD,CapFloorVolatility,normal
0.075,7Y,1.787,2021-06-08,USD,CapFloorVolatility,normal
0.075,8Y,1.676,2021-06-08,USD,CapFloorVolatility,normal
0.075,9Y,1.583,2021-06-08,USD,CapFloorVolatility,normal
0.075,10Y,1.5,2021-06-08,USD,CapFloorVolatility,normal
0.075,12Y,1.399,2021-06-08,USD,CapFloorVolatility,normal
0.075,15Y,1.276,2021-06-08,USD,CapFloorVolatility,normal
0.075,20Y,1.168,2021-06-08,USD,CapFloorVolatility,normal
0.08,1Y,2.812,2021-06-08,USD,CapFloorVolatility,normal
0.08,2Y,2.407,2021-06-08,USD,CapFloorVolatility,normal
0.08,3Y,2.293,2021-06-08,USD,CapFloorVolatility,normal
